Date,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8
2024.10.29 08:13:00,2362,2031,2300,2498,2940,2074,2154,2578
2024.10.29 08:13:30,2769,2963,2237,2833,2197,2078,2729,2916
2024.10.29 08:14:00,2505,2799,2573,2873,2124,2096,2912,2525
2024.10.29 08:14:30,2584,2614,2587,2300,2631,2627,2033,2356
2024.10.29 08:15:00,2680,2013,2478,2400,2871,2235,2497,2295
2024.10.29 08:15:30,2536,2148,2415,2870,2102,2734,2403,2577
2024.10.29 08:16:00,2491,2141,2522,2054,2078,2578,2128,2111
2024.10.29 08:16:30,2778,2395,2662,2737,2138,2565,2412,2548
2024.10.29 08:17:00,2544,2610,2324,2200,2269,2777,2671,2849
2024.10.29 08:17:30,2711,2987,2969,2479,2578,2038,2237,2549
2024.10.29 08:18:00,2520,2244,2567,2758,2209,2254,2060,2424
2024.10.29 08:18:30,2614,2279,2246,2726,2696,2909,2531,2836
2024.10.29 08:19:00,2570,2056,2294,2398,2662,2673,2120,2511
2024.10.29 08:19:30,2386,2946,2833,2411,2867,2908,2231,2972
2024.10.29 08:20:00,2634,2247,2080,2133,2817,2846,2354,2340
2024.10.29 08:39:31,2478,2172,2122,2813,2552,2593,2811,2296
2024.10.29 08:40:00,2245,2644,2804,2588,2181,2792,2431,2563
2024.10.29 08:40:30,2506,2753,2933,2891,2011,2096,2004,2511
2024.10.29 08:41:00,2978,2783,2785,2468,2384,2973,2698,2927
2024.10.29 08:41:30,2547,2139,2903,2874,2999,2557,2196,2770
2024.10.29 08:42:00,2579,2183,2826,2230,2525,2415,2351,2758
2024.10.29 08:42:30,2475,2381,2220,2568,2697,2749,2936,2026
2024.10.29 08:43:00,2819,2290,2958,2089,2304,2780,2691,2791
2024.10.29 08:43:30,2152,2746,2135,2874,2440,2493,2086,2342
2024.10.29 08:44:00,2771,2447,2470,2680,2227,2866,2356,2270
2024.10.29 08:44:30,2896,2213,2254,2839,2681,2092,2884,2074
2024.10.29 08:45:00,2280,2353,2464,2340,2941,2747,2416,2621
